"STATION","NAME","DATE","AWND","PRCP","TAVG","WESD","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT18","WT21"
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-06","7.83","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-07","2.46","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-08","6.04","0.00",,"0.0","    1",,,,,,"    1",,,,"    1","    1","    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-09","9.84","0.03",,"0.0",,,"    1","    1","    1",,,,,,,,"    1","    1",
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-10","9.17","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-11","6.71","0.00",,"0.0",,,,,,,,,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-12","7.61","0.00",,"0.0",,,,,,"    1","    1",,,,,,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-13","4.25","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-14","3.36","0.00",,"0.0","    1",,,,,,,,,,"    1",,,,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-15","3.58","0.00",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-16","7.83","0.12",,"0.0","    1",,,,"    1",,,,,,"    1",,"    1",,
"USW00012834","DAYTONA BEACH INTERNATIONAL AIRPORT, FL US","2010-01-17","15.21","0.68",,"0.0","    1",,"    1",,"    1",,,,,,"    1",,"    1",,
